wordText,lyricsRank,newYorkTimesRank,rank,googleBooksRank,happs,stdDev,twitterRank
laughter,1728,-1,1,-1,8.5,0.9313,3600
happiness,1230,-1,2,2458,8.44,0.9723,1853
love,23,328,3,317,8.42,1.1082,25
happy,375,1313,4,1372,8.3,0.9949,65
laughed,2332,-1,5,3542,8.26,1.1572,3334
laugh,647,4488,6,3998,8.22,1.3746,1002
laughing,1122,-1,7,-1,8.2,1.1066,1579
excellent,-1,3155,8,1756,8.18,1.1008,1496
laughs,2856,-1,9,-1,8.18,1.1551,3554
joy,809,2723,10,2336,8.16,1.0568,988
successful,-1,1565,11,1198,8.16,1.0759,2176
win,694,776,12,3031,8.12,1.0812,154
rainbow,1723,-1,13,-1,8.1,0.9949,2726
smile,349,2898,14,2666,8.1,1.0152,925
won,1493,439,15,1167,8.1,1.2164,810
pleasure,1398,4253,16,1526,8.08,0.9655,1497
smiled,2248,-1,17,3537,8.08,1.066,-1
rainbows,4216,-1,18,-1,8.06,1.3603,-1
winning,3646,1426,19,-1,8.04,1.049,1876
celebration,4070,2762,20,-1,8.02,1.5318,3306
enjoyed,-1,3502,21,2908,8.02,1.5318,1530
healthy,4619,3292,22,3200,8.02,1.0593,1393
music,374,167,23,875,8.02,1.1156,132
celebrating,-1,-1,24,-1,8,1.1429,2550
congratulations,-1,-1,25,-1,8,1.6288,2246
weekend,2256,833,26,-1,8,1.2936,317
celebrate,2108,3574,27,-1,7.98,1.1516,1606
comedy,-1,2566,28,-1,7.98,1.1516,1444
jokes,3808,-1,29,-1,7.98,0.9792,2812
rich,890,1469,30,1221,7.98,1.3169,1625
victory,2845,687,31,2341,7.98,1.0784,1809
christmas,599,2097,32,3846,7.96,1.293,138
free,219,393,33,342,7.96,1.261,85
friendship,3980,3669,34,3098,7.96,1.1241,4273
fun,463,2189,35,4135,7.96,1.3087,110
holidays,-1,-1,36,-1,7.96,1.261,1204
loved,517,890,37,2178,7.96,1.1599,465
loves,653,-1,38,-1,7.96,1.3696,780
loving,527,230,39,4396,7.96,1.0093,947
beach,1475,551,40,3596,7.94,1.0577,573
hahaha,-1,-1,41,-1,7.94,1.5572,428
kissing,2052,-1,42,-1,7.94,1.1323,-1
sunshine,950,-1,43,-1,7.94,1.1678,2080
beautiful,467,1754,44,1159,7.92,1.1753,266
delicious,-1,-1,45,-1,7.92,1.2591,1565
friends,321,347,46,658,7.92,1.1925,258
funny,755,3194,47,-1,7.92,1.0467,358
outstanding,-1,1797,48,4721,7.92,1.14,4468
paradise,1146,-1,49,-1,7.92,1.3974,3096
sweetest,2232,-1,50,-1,7.92,1.2911,-1
vacation,3780,3251,51,-1,7.92,1.9042,952
butterflies,4175,-1,52,-1,7.92,1.077,-1
freedom,879,1844,53,933,7.9,1.4178,1465
flower,1929,-1,54,3675,7.88,1.1718,2769
great,579,219,55,110,7.88,1.2061,94
sunlight,2316,-1,56,-1,7.88,1.4934,-1
sweetheart,2919,-1,57,-1,7.88,1.272,3055
sweetness,4465,-1,58,-1,7.88,1.1891,-1
award,-1,1429,59,-1,7.86,1.5651,1715
chocolate,2695,-1,60,-1,7.86,1.0304,436
hahahaha,-1,-1,61,-1,7.86,1.7025,1341
heaven,392,3939,62,1615,7.86,1.578,1294
peace,559,775,63,702,7.86,1.3403,675
splendid,-1,-1,64,4763,7.86,1.457,-1
success,3316,1338,65,847,7.86,1.6414,657
enjoying,-1,-1,66,-1,7.84,1.5032,875
kissed,1322,-1,67,-1,7.84,1.5048,-1
attraction,4179,-1,68,-1,7.82,1.024,-1
celebrated,-1,3432,69,3720,7.8,1.178,-1
hero,1648,3816,70,3362,7.8,1.3997,1867
hugs,-1,-1,71,-1,7.8,1.4428,1868
positive,3575,2139,72,958,7.8,1.2454,1728
sun,214,2010,73,978,7.8,1.3553,439
birthday,2529,2241,74,-1,7.78,1.9091,190
blessed,1618,-1,75,3876,7.78,1.2824,1733
fantastic,-1,-1,76,-1,7.78,1.0934,1354
winner,3199,1916,77,-1,7.78,1.6938,1793
delight,2987,-1,78,3954,7.78,1.4181,-1
beauty,1013,2519,79,1611,7.76,1.6107,1032
butterfly,2836,-1,80,-1,7.76,1.3334,4332
entertainment,-1,1712,81,-1,7.76,1.2216,2247
funniest,-1,-1,82,-1,7.76,1.5592,3451
honesty,3653,-1,83,-1,7.76,1.2707,-1
sky,274,4221,84,2374,7.76,1.0797,842
smiles,1782,-1,85,-1,7.76,1.7907,2971
succeed,4270,3212,86,4088,7.76,1.6971,-1
wonderful,1188,1571,87,2841,7.76,1.7907,749
glorious,3926,-1,88,4792,7.74,1.3969,-1
kisses,1340,-1,89,-1,7.74,1.192,2942
promotion,-1,4849,90,4108,7.74,1.3822,3037
